liability_category,sub_category,run_off_rate_pct,inflow_rate_pct,effective_date,regulatory_basis,notes
RETAIL_DEPOSIT,STABLE,5.00,NULL,2024-01-01,Basel III Art. 421(1) / CRR2 Art. 421,"Retail deposits covered by FSCS up to £85,000. Customer has salary or >1 product relationship."
RETAIL_DEPOSIT,LESS_STABLE,10.00,NULL,2024-01-01,Basel III Art. 421(2) / CRR2 Art. 421,"Retail deposits not meeting stability criteria. Higher run-off applied per PRA SS24/15."
RETAIL_DEPOSIT,HIGH_VALUE_NON_OPERATIONAL,15.00,NULL,2024-01-01,PRA SS24/15 Supervisory Statement,"Balances above £85,000 FSCS threshold. PRA applies higher stress assumption."
RETAIL_DEPOSIT,FIXED_TERM_RESIDUAL_GT_30D,0.00,NULL,2024-01-01,Basel III Art. 422 / CRR2 Art. 422,"Fixed-term deposits with residual maturity >30 days. No run-off applied within LCR window."
RETAIL_DEPOSIT,FIXED_TERM_RESIDUAL_LT_30D,10.00,NULL,2024-01-01,Basel III Art. 422 / CRR2 Art. 422,"Fixed-term deposits maturing within 30 days treated as callable. Retail run-off rate applied."
SME_OPERATIONAL,OPERATIONAL_ACCOUNT,25.00,NULL,2024-01-01,Basel III Art. 422(4) / CRR2 Art. 422,"SME operating accounts with active transactional activity. Partial run-off recognised."
SME_OPERATIONAL,NON_OPERATIONAL,40.00,NULL,2024-01-01,Basel III Art. 422(5) / CRR2 Art. 423,"SME deposits held for investment rather than operational purposes."
WHOLESALE_OPERATIONAL,CORRESPONDENT_BANKING,25.00,NULL,2024-01-01,Basel III Art. 422(3) / CRR2 Art. 422,"Deposits from financial institutions for operational clearing and settlement purposes."
WHOLESALE_OPERATIONAL,CUSTODY_SERVICES,25.00,NULL,2024-01-01,Basel III Art. 422(3) / CRR2 Art. 422,"Deposits maintained to support prime brokerage or custody services."
WHOLESALE_NON_OPERATIONAL,FINANCIAL_INSTITUTION,100.00,NULL,2024-01-01,Basel III Art. 423 / CRR2 Art. 423,"Non-operational deposits from banks and broker-dealers. Full run-off assumed."
WHOLESALE_NON_OPERATIONAL,CENTRAL_BANK,0.00,NULL,2024-01-01,Basel III Art. 422(7) / CRR2 Art. 422,"Central bank reserves held above minimum requirement. Zero run-off."
WHOLESALE_NON_OPERATIONAL,NON_FINANCIAL_CORPORATE,40.00,NULL,2024-01-01,Basel III Art. 423 / CRR2 Art. 423,"Non-operational deposits from corporates. Partial run-off based on wholesale stress."
SECURED_FUNDING,HQLA_LEVEL1,0.00,NULL,2024-01-01,Basel III Art. 424 / CRR2 Art. 424,"Repos backed by Level 1 HQLA (sovereign bonds, central bank assets). No run-off."
SECURED_FUNDING,HQLA_LEVEL2A,15.00,NULL,2024-01-01,Basel III Art. 424 / CRR2 Art. 424,"Repos backed by Level 2A HQLA (covered bonds, qualifying corporate bonds)."
SECURED_FUNDING,HQLA_LEVEL2B,25.00,NULL,2024-01-01,Basel III Art. 424 / CRR2 Art. 424,"Repos backed by Level 2B HQLA (equities, RMBS). Higher run-off reflects lower quality."
SECURED_FUNDING,NON_HQLA,100.00,NULL,2024-01-01,Basel III Art. 424 / CRR2 Art. 424,"Repos backed by assets that do not qualify as HQLA. Full roll-off assumed."
COMMITTED_FACILITY_RETAIL,CREDIT_CARD,5.00,NULL,2024-01-01,Basel III Art. 424(5) / CRR2 Art. 424,"Undrawn committed credit card facilities to retail customers."
COMMITTED_FACILITY_RETAIL,OVERDRAFT,5.00,NULL,2024-01-01,Basel III Art. 424(5) / CRR2 Art. 424,"Undrawn arranged overdraft facilities to retail and SME customers."
COMMITTED_FACILITY_CORPORATE,REVOLVING_CREDIT,10.00,NULL,2024-01-01,Basel III Art. 424(5) / CRR2 Art. 424,"Undrawn revolving credit facilities to non-financial corporates."
COMMITTED_FACILITY_FINANCIAL,LIQUIDITY_FACILITY,100.00,NULL,2024-01-01,Basel III Art. 424(6) / CRR2 Art. 424,"Committed liquidity facilities extended to financial institutions. Full draw assumed."
INTRAGROUP,INTRAGROUP_FUNDING,100.00,NULL,2024-01-01,CRR2 Art. 422(8) / PRA Rulebook LCR 6.1,"Intragroup funding unless specific intragroup treatment approved by PRA. Full run-off."
DERIVATIVES,NET_DERIVATIVES_PAYABLE,100.00,NULL,2024-01-01,Basel III Art. 422(9) / CRR2 Art. 423,"Net mark-to-market derivatives payable under stress. Full outflow."
DERIVATIVES,COLLATERAL_OUTFLOWS,100.00,NULL,2024-01-01,Basel III Art. 422(10) / CRR2 Art. 423,"Additional collateral calls from ratings downgrade (3 notch stress scenario)."
ASSET_BACKED,ABCP_MATURITIES,100.00,NULL,2024-01-01,Basel III Art. 424(7) / CRR2 Art. 424,"Asset-backed commercial paper maturing within 30 days. Full refinancing assumed."
ASSET_BACKED,COVERED_BONDS,100.00,NULL,2024-01-01,Basel III Art. 424(7) / CRR2 Art. 424,"Covered bond issuance maturing within 30 days. Full refinancing assumed."
